posicion;cliente_id;cliente;empresa;ventas;frecuencia_egresos;ticket_promedio
102;259;PETROBELL PETROLEROS;TECFOOD;57711.8838338678;180;320.621576854821
103;38;CPP OPERATIVOS;TECFOOD;57547.7361528135;155;371.275717114926
104;549;ORION EL ENO;TECFOOD;56530.9275049295;177;319.383771214291
105;1699;GYE PRONACA CD;COALSE;54301.2899432479;147;369.396530226176
106;1201;GYE GRAIMAN;COALSE;53862.9010976022;144;374.047924288904
107;1068;POFASA;TECFOOD;52522.7425984111;231;227.371180079702
108;875;NATUFLOR;TECFOOD;51932.2738393209;151;343.922343306761
109;2105;GYE OMARSA PUERTO INCA 1 ZONA 2;COALSE;51111.9179578587;89;574.291213009648
110;1958;GYE OMARSA PUERTO INCA 3;COALSE;50584.346961184;134;377.495126576
111;339;GYE HOSP. L.V. DIETA ASTRINGENTE;COALSE;50556.1135876894;123;411.025313721052
112;1952;OMARSA CAMAREXPO GYE;COALSE;50009.8790541759;144;347.29082676511
113;1473;COL. SEK UIO COMEDOR;TECFOOD;49439.3729446292;220;224.724422475587
114;128;ECUAJUGOS FABRICA;TECFOOD;49415.9804209567;149;331.650875308434
115;1474;COL. MENOR COMEDOR;TECFOOD;48391.8975749799;212;228.263667806509
116;1907;GYE OMARSA OCEAN PRODUCT-ARENILLA;COALSE;47277.0193303666;133;355.466310754636
117;211;GYE GH 112 SUMINISTROS PCP GYE;COALSE;47202.83327116;104;453.873396838077
118;1954;GYE COL. MODERNA RETAIL;COALSE;46066.286909443;152;303.067677035809
119;204;GYE OMARSA CACHUGRAN 3;COALSE;45882.5912189988;135;339.871046066658
120;8;ARCA CALDERON;TECFOOD;45317.4118157874;402;112.729880138775
121;2096;GYE ECUASAL PACOA;COALSE;44938.66176776;126;356.656045775873
122;1431;GYE GRUPO FAMILIA;COALSE;44560.354209432;159;280.253800059321
123;1336;CRANSA S.A.;TECFOOD;42135.7075898344;146;288.600736916674
124;1779;FLOREQUISA ADMINISTRATIVO;TECFOOD;41621.2122718463;264;157.656107090327
125;1695;COL. LOS PINOS COMEDOR;TECFOOD;41371.0615937036;213;194.230336120674
126;927;PANIFICADORA MODERNA;TECFOOD;40813.097545804;159;256.686148086818
127;521;COL. TERRANOVA RETAIL;TECFOOD;40121.3830231752;182;220.447159467996
128;1861;GYE OMARSA PUERTO INCA 1;COALSE;39711.371834353;145;273.87152989209
129;1331;ECOFROZ AGUA CLARA;TECFOOD;39462.23036348;127;310.726223334488
130;1960;GYE EXPOCULTIVOS CHURUTE;COALSE;39296.3293728553;137;286.834520969747
131;548;ORION TETETES;TECFOOD;38814.2984746702;193;201.110354791037
132;179;GYE ECUASAL;COALSE;38093.3050071637;125;304.74644005731
133;1360;GYE HOSPC. CORAZON DE JESÚS ADMINISTRACIÓN;COALSE;38060.5079710794;136;279.856676257937
134;1468;COL. LA CONDAMINE COMEDOR;TECFOOD;36755.3029818597;183;200.848650174097
135;1854;GYE OMARSA PUERTO INCA 5 TAURA;COALSE;36648.4017883402;138;265.568128901016
136;1252;GYE HEINEKEN;COALSE;36380.6215729692;159;228.808940710498
137;809;BIMBO;TECFOOD;35690.691428111;266;134.175531684628
138;141;PANAVIAL GUAYLLABAMBA;TECFOOD;34941.4522598499;207;168.799286279468
139;1614;INDUCALSA-BUNKY;TECFOOD;34328.6091893742;143;240.060204121498
140;1991;GYE QUICORNAC;COALSE;33392.2096540002;156;214.052625987181
141;1939;GYE COL. MENOR SAM RETAIL;COALSE;32886.80669282;118;278.701751634068
142;240;OCP BALAO;TECFOOD;32724.9201908913;139;235.431080510009
143;1714;GYE RANSA;COALSE;32320.8360697336;151;214.045271984991
144;239;OCP AMAZONAS;TECFOOD;32027.5738695166;157;203.997285793099
145;143;PANAVIAL IBARRA;TECFOOD;31820.1396985739;179;177.766143567452
146;2092;GYE LA FABRIL MANTA DETERGENTES;COALSE;31449.262592369;189;166.398214774439
147;1731;I.E.P.E.S.A.;TECFOOD;31380.965570229;147;213.475956260061
148;1893;GYE OMARSA ISLA PUNÁ RETAIL;COALSE;31241.12536469;52;600.790872397885
149;1471;COL. AMERICANO COMEDOR;TECFOOD;30388.2198703525;236;128.763643518443
150;1805;GRUPO SUR ATLÁNTIDA;TECFOOD;28656.5867053728;154;186.08173185307
151;1891;HOSP. SOLCA DIETAS BLANDAS VARIAS;TECFOOD;28653.836239302;83;345.226942642193
152;542;ALPINA SAN GABRIEL;TECFOOD;27779.2255332176;128;217.025199478263
153;135;PANAVIAL AMBUQUÍ;TECFOOD;26821.3355297991;166;161.574310420477
154;1289;GYE LA FABRIL AGENCIA;COALSE;26723.277945238;135;197.950207001763
155;245;OCP SARDINAS;TECFOOD;26684.110990674;149;179.087993226
156;1962;GYE EXPOCULTIVOS CAMARONMAR;COALSE;26569.800972122;138;192.534789653058
157;235;PLUSPETROL SARAYACU;TECFOOD;26496.909067434;167;158.664126152299
158;1297;GYE INDURAMA TRANSPORTADOS;COALSE;26354.872474506;131;201.182232629817
159;1638;GYE OMARSA MAR BRAVO;COALSE;25914.8520867699;147;176.291510794353
160;2103;GYE COL. LICEO PANAMERICANO RETAIL;COALSE;25707.156296184;131;196.237834322015
161;1247;GYE ENIGAS LOMAS DE SARGENTILLO;COALSE;25669.7518745436;146;175.820218318792
162;1756;COL. DE LIGA COMEDOR;TECFOOD;25292.2590299241;196;129.042137907776
163;1533;PETROECUADOR NPF RETAIL;TECFOOD;24426.3095791;36;678.508599419445
164;231;PLUSPETROL BAEZA;TECFOOD;23983.239053597;175;137.047080306269
165;2097;GYE YILPORT CAFETERÍA RETAIL;COALSE;23053.47699691;65;354.668876875539
166;1618;INPROLAC-DULAC´S;TECFOOD;22920.752706346;138;166.092410915551
167;1528;PETROECUADOR SPF RETAIL;TECFOOD;22814.31554536;39;584.982449881026
168;1998;TESSA PICASSO;TECFOOD;22672.8852613465;274;82.7477564282719
169;1041;HOSP. VOZANDES CAFETERIA MENU;TECFOOD;22418.1375586692;261;85.893247351223
170;105;FUNDACION EL TRIÁNGULO;TECFOOD;22275.5477926174;123;181.102014574125
171;43;COL. EINSTEIN RETAIL;TECFOOD;22242.2312992088;156;142.578405764159
172;166;GYE CLÍNICA DIETAS VARIAS;COALSE;22083.5209531268;133;166.041510925765
173;1476;COL. EINSTEIN COMEDOR;TECFOOD;21598.6035578805;215;100.458621199444
174;241;OCP CAYAGAMA;TECFOOD;21384.7711835556;149;143.521954252051
175;195;GYE HOSP. L.V. DIABÉTICA;COALSE;20646.8086456434;136;151.81476945326
176;2123;GYE AVICOLA FERNANDEZ S.A.;COALSE;20640.9646976733;60;344.016078294555
177;1364;GYE HOSPC. CORAZON DE JESÚS DIETA LICUADA;COALSE;20624.2826481352;123;167.677094700286
178;607;GYE MOLINOS CHAMPIONS S.A.;COALSE;20299.6447455722;140;144.997462468373
179;4;AVON;TECFOOD;20285.3317478597;128;158.479154280154
180;1758;COL. DE LIGA RETAIL;TECFOOD;19963.2398890882;122;163.633113844985
181;1477;GYE COL. SEK COMEDOR;COALSE;19875.279736074;91;218.409667429385
182;288;PETROBELL RETAIL;TECFOOD;19856.78145488;81;245.145450060247
183;810;GYE PROMARISCO CAFETERÍA RETAIL;COALSE;19746.04950218;133;148.466537610376
184;267;OCP BALAO MARINA RETAIL;TECFOOD;19570.892175359;132;148.264334661811
185;811;GYE INPROEL S.A. EVENTOS;COALSE;19527.4648207515;52;375.528169629837
186;1488;GYE HOSP. R.G. CAFETERÍA RETAIL;COALSE;19527.417370863;131;149.064254739412
187;1773;GYE GRANASA;COALSE;19505.0976634682;137;142.372975645753
188;266;OCP AMAZONAS RETAIL;TECFOOD;19485.0206905544;134;145.410602168316
189;243;OCP PÁRAMO;TECFOOD;19279.9671674817;152;126.841889259748
190;268;OCP BALAO RETAIL;TECFOOD;18508.5932650145;131;141.28697148866
191;1953;GYE COL. MODERNA COMEDOR;COALSE;18317.4427620607;259;70.7237172280336
192;1777;TESSA DALI;TECFOOD;18023.3881652973;250;72.0935526611892
193;1637;GYE OMARSA TABASCA;COALSE;17913.8144373874;142;126.153622798503
194;1535;PETROECUADOR SHUSHUFINDI;TECFOOD;17207.3913841705;159;108.222587321827
195;1382;COL. LICEO INTERNACIONAL RETAIL;TECFOOD;17059.405151632;125;136.475241213056
196;1472;COL. HIGHLANDS COMEDOR;TECFOOD;16840.6903395727;199;84.6265846209683
197;737;GYE HOSP. L.V. ADMINISTRACION EVENTOS;COALSE;16691.5201791993;87;191.8565537839
198;274;PARDALIS RETAIL;TECFOOD;16520.62317517;106;155.854935614811
199;2115;GYE COL. ALEMÁN HUMBOLDT RETAIL;COALSE;16400.8965370834;87;188.516052150384
200;127;ECUAJUGOS CD;TECFOOD;16209.0502424999;131;123.733207958015
201;148;PETROBELL INDUSTRIALES;TECFOOD;16181.5283740168;151;107.162439563025
202;1634;GYE PRONACA PL AVES EN PIE;COALSE;16065.4519575967;139;115.578791061847
203;432;ENIGAS BEATERIO;TECFOOD;15967.5832299747;213;74.9651794834493
204;1465;COL. MONTEBELLO A. COMEDOR;TECFOOD;15952.1908599084;203;78.5822209847705
205;1302;GYE INDURAMA EVENTOS;COALSE;15883.3150979144;91;174.541924152906
206;189;GYE HOSP. R.G. DIETAS VARIAS;COALSE;15755.2751429143;122;129.141599532084
207;165;GYE CLÍNICA ADMINISTRACIÓN;COALSE;15283.1758916003;130;117.562891473848
208;187;GYE HOSP. R.G. CAFETERÍA MENÚ;COALSE;14999.4009161988;124;120.962910614506
209;2023;ENAP SIPEC HOTELERIA;TECFOOD;14782.33510652;45;328.496335700444
210;944;COL. MONTEBELLO A. RETAIL;TECFOOD;14640.3985757676;113;129.561049343076
211;1894;GYE OMARSA CACHUGRAN 2 RETAIL;COALSE;14590.21509388;28;521.079110495714
212;2114;GYE COL. ALEMÁN HUMBOLDT COMEDOR;COALSE;14559.9750589952;119;122.352731588195
213;508;PANAVIAL MINA COLIBRÍ;TECFOOD;14256.1831941057;150;95.041221294038
214;2102;GYE COL. LICEO PANAMERICANO COMEDOR;COALSE;13990.3082594902;163;85.8301120214123
215;26;COL. LA CONDAMINE RETAIL;TECFOOD;13913.7695868996;168;82.8200570648786
216;543;ALPINA MACHACHI;TECFOOD;13694.3464080261;142;96.4390592114514
217;1373;GYE TEXMEX CONDUMIOS RETAIL;COALSE;13511.28586276;116;116.476602265172
218;11;ARCA SUR;TECFOOD;13199.7528751373;460;28.6951149459507
219;1815;GYE HOSP. L.V. CLÍNICA PRIVADA;COALSE;13095.1166993143;139;94.2094726569374
220;233;PLUSPETROL K1;TECFOOD;12801.2062366526;62;206.471068333107
221;186;GYE HOSP. R.G. BLANDA;COALSE;12780.9459550521;119;107.402907185312
222;1475;COL. VICTORIA´S A. COMEDOR;TECFOOD;12639.0790622531;168;75.2326134657923
223;1912;GYE OMARSA CHONGON LANGUA RETAIL;COALSE;12150.18646414;32;379.693327004375
224;1934;GYE COL. MENOR SAM COMEDOR;COALSE;11763.8204747929;163;72.1706777594657
225;1990;FUNDACION SOL DE PRIMAVERA;TECFOOD;11756.2895960188;123;95.579590211535
226;273;OCP SARDINAS RETAIL;TECFOOD;11586.1192532044;132;87.773630706094
227;787;COL. HIGHLANDS RETAIL;TECFOOD;11381.7708755512;100;113.817708755512
228;270;OCP CAYAGAMA RETAIL;TECFOOD;11110.8557126928;136;81.6974684756824
229;131;PANAVIAL AMAGUAÑA;TECFOOD;10770.4836731904;160;67.31552295744
230;2029;GYE EL CAFE EVENTOS;COALSE;10718.0126365631;80;133.975157957039
231;1398;HALLIBURTON HOTELERÍA;TECFOOD;10665.70055112;37;288.262177057297
232;1736;HORMIPISOS QUITO SUR;TECFOOD;10548.9080353197;122;86.4664593058992
233;1469;COL. TERRANOVA COMEDOR;TECFOOD;10538.6393893375;224;47.0474972738281
234;1118;HOSP. METROPOLITANO PEDIDOS ESPECIALES RETAIL;TECFOOD;10324.4284961352;178;58.0024072816584
235;1072;HOSP. METROPOLITANO EVENTOS;TECFOOD;9992.297789489;159;62.8446401854654
236;551;ORION EL ENO RETAIL;TECFOOD;9893.70628072;65;152.210865857231
237;1520;CLUB DEPORTIVO U. CATÓLICA PROFESIONAL;TECFOOD;9431.507360315;145;65.044878347
238;1037;GYE HOSP. R.G. CLINICA PRIVADA;COALSE;9278.0032562386;125;74.2240260499088
239;1082;HOSP. METROPOLITANO ADMINISTRACIÓN RETAIL;TECFOOD;9253.05356668;64;144.578961979375
240;2126;GYE OMARSA ISLA PUNÁ 2 RETAIL;COALSE;9227.01720538;16;576.68857533625
241;1914;GYE OMARSA PUERTO INCA RETAIL;COALSE;9220.44721615;27;341.498045042593
242;803;COL. LICEO ORTEGA RETAIL;TECFOOD;9205.4793367164;145;63.4860643911476
243;1670;DANEC EVENTOS;TECFOOD;9122.9865855955;156;58.4806832409968
244;1466;COL. WILLIAM SHAKESPEARE COMEDOR;TECFOOD;9083.3315052531;202;44.9669876497678
245;1070;HOSP. METROPOLITANO LA ROTONDA MENÚ RETAIL;TECFOOD;9069.2621027271;110;82.4478372975191
246;981;ELAPLAS;TECFOOD;8999.0082777107;195;46.1487603985164
247;82;AGLOMERADOS COTOPAXI 2;TECFOOD;8847.8034353497;242;36.5611712204533
248;756;GYE DURAGAS S.A. EVENTOS;COALSE;8833.791292654;39;226.50746904241
249;188;GYE HOSP. R.G. DIETA GENERAL;COALSE;8765.8994682178;119;73.6630207413261
250;533;GH 112 SUMINISTROS PCP UIO;TECFOOD;8613.13971475;33;261.004233780303
251;197;GYE HOSP. L.V. DIETA HIPERPROTÉICA;COALSE;8571.6158572693;134;63.9672825169351
252;271;OCP PÁRAMO RETAIL;TECFOOD;8480.2330737425;126;67.3034370931945
253;1532;PETROECUADOR NPF HOTELERÍA;TECFOOD;8434.1697653;37;227.950534197297
254;797;COL. WILLIAM SHAKESPEARE RETAIL;TECFOOD;8323.87142971;98;84.9374635684694
