cliente_id;cliente;empresa;segmento;recencia_dias;frecuencia_egresos;ventas;ticket_promedio;productos_diferentes;dias_activos;cluster;componente_1;componente_2
1681;COL. JULIO VERNE RETAIL;TECFOOD;Clientes estrategicos;58;93;7185.6182913968;77.2647128107183;133;25;1;0.119546322025976;0.664145553823195
1470;COL. LICEO ORTEGA COMEDOR;TECFOOD;Clientes estrategicos;2;189;7466.9374640154;39.5076056297111;183;51;1;-1.12592397671366;-1.19721713826076
803;COL. LICEO ORTEGA RETAIL;TECFOOD;Clientes estrategicos;2;145;9205.4793367164;63.4860643911476;124;46;1;-1.04310708885539;-0.931227216357463
1695;COL. LOS PINOS COMEDOR;TECFOOD;Clientes estrategicos;2;213;41371.0615937036;194.230336120674;295;49;1;-2.00003568689731;-0.193294970672246
1473;COL. SEK UIO COMEDOR;TECFOOD;Clientes estrategicos;18;220;49439.3729446292;224.724422475587;332;55;1;-1.6625204410839;0.628960905363321
1467;COL. SEK VALLES COMEDOR;TECFOOD;Clientes estrategicos;2;243;62518.2347120464;257.276686057804;318;58;1;-2.27844704980819;-0.0850147466698301
105;FUNDACION EL TRIÁNGULO;TECFOOD;Clientes estrategicos;25;123;22275.5477926174;181.102014574125;251;30;1;-0.867597054988836;0.834853239183877
1895;CLUB DEPORTIVO IDV FORMATIVA;TECFOOD;Clientes estrategicos;0;516;349193.676855123;676.731931889774;558;102;1;-3.76953304962505;-0.127818707841504
38;CPP OPERATIVOS;TECFOOD;Clientes estrategicos;0;155;57547.7361528135;371.275717114926;423;40;1;-2.43918633176133;-0.135202979556707
110;CPP RETAIL;TECFOOD;Clientes estrategicos;0;69;8207.24123049;118.945525079565;9;36;1;-0.408616470238404;-1.26093803234435
1698;DANEC;TECFOOD;Clientes estrategicos;0;463;200272.471537397;432.553934206041;539;98;1;-3.49229726938433;-0.377238905032576
1709;DANEC RETAIL MENÚ;TECFOOD;Clientes estrategicos;0;324;3773.5920087453;11.6468889158806;132;95;1;-1.33203235852497;-2.63544769612101
179;GYE ECUASAL;COALSE;Clientes estrategicos;0;125;38093.3050071637;304.74644005731;296;33;1;-2.06492737570672;-0.223256397258767
211;GYE GH 112 SUMINISTROS PCP GYE;COALSE;Clientes estrategicos;0;104;47202.83327116;453.873396838077;59;33;1;-1.68438609807547;-0.20666400506014
2002;GYE GRUPO GRUPASA;COALSE;Clientes estrategicos;0;303;159637.381630025;526.85604498358;347;71;1;-3.10592887401263;-0.189719930512544
188;GYE HOSP. R.G. DIETA GENERAL;COALSE;Clientes estrategicos;0;119;8765.8994682178;73.6630207413261;131;33;1;-1.18775791402558;-1.16375700367446
189;GYE HOSP. R.G. DIETAS VARIAS;COALSE;Clientes estrategicos;0;122;15755.2751429143;129.141599532084;151;33;1;-1.48524649387534;-0.817765629136876
1037;GYE HOSP. R.G. CLINICA PRIVADA;COALSE;Clientes estrategicos;0;125;9278.0032562386;74.2240260499088;114;33;1;-1.17659738944168;-1.17968308376517
185;GYE HOSP. R.G. ADMINISTRACIÓN;COALSE;Clientes estrategicos;0;147;136512.971289032;928.65966863287;363;33;1;-2.69351972480127;0.454488753094769
186;GYE HOSP. R.G. BLANDA;COALSE;Clientes estrategicos;0;119;12780.9459550521;107.402907185312;104;33;1;-1.28579159041008;-0.975933371101719
1488;GYE HOSP. R.G. CAFETERÍA RETAIL;COALSE;Clientes estrategicos;0;131;19527.417370863;149.064254739412;120;37;1;-1.56329533933055;-0.809873423464889
187;GYE HOSP. R.G. CAFETERÍA MENÚ;COALSE;Clientes estrategicos;7;124;14999.4009161988;120.962910614506;209;31;1;-0.973654434980558;0.0731167522487822
607;GYE MOLINOS CHAMPIONS S.A.;COALSE;Clientes estrategicos;0;140;20299.6447455722;144.997462468373;243;34;1;-1.75412445276622;-0.699116440880307
204;GYE OMARSA CACHUGRAN 3;COALSE;Clientes estrategicos;0;135;45882.5912189988;339.871046066658;268;33;1;-2.12354053720563;-0.17497879176161
205;GYE OMARSA CACHUGRAN CAPILLA;COALSE;Clientes estrategicos;0;141;90685.0091978734;643.156093601939;293;34;1;-2.46173927488062;0.19925473628533
203;GYE OMARSA CACHUGRAN 2;COALSE;Clientes estrategicos;0;149;141745.525585647;951.312252252666;314;33;1;-2.6693853373468;0.44826718800466
1946;GYE OMARSA ISLA PUNÁ 2;COALSE;Clientes estrategicos;0;142;167240.438662443;1177.74956804538;315;33;1;-2.73895834196931;0.575286194067275
266;OCP AMAZONAS RETAIL;TECFOOD;Clientes estrategicos;4;134;19485.0206905544;145.410602168316;131;33;1;-1.11094679569663;-0.103565896123058
549;ORION EL ENO;TECFOOD;Clientes estrategicos;0;177;56530.9275049295;319.383771214291;502;35;1;-2.4385020264462;-0.153438788129538
551;ORION EL ENO RETAIL;TECFOOD;Clientes estrategicos;0;65;9893.70628072;152.210865857231;24;33;1;-0.715248638576631;-0.95622070879867
10;ARCA STO. DOMINGO;TECFOOD;Clientes estrategicos;6;139;72733.6449110393;523.26363245352;361;32;1;-1.87635337909586;0.93609221663111
6;BOTROSA;TECFOOD;Clientes estrategicos;6;140;83080.7311597304;593.433793998074;361;33;1;-1.94701753869889;0.998330952403734
1986;CCDC – RIG 28;TECFOOD;Clientes estrategicos;6;236;212840.076201603;901.864729667808;573;34;1;-2.5424664046624;1.28345630956073
1987;CCDC – RIG 28 HOTELERIA;TECFOOD;Clientes estrategicos;6;38;6032.33188565;158.745575938158;24;31;1;0.0880501431406018;-0.0895885432002067
1475;COL. VICTORIA´S A. COMEDOR;TECFOOD;Clientes estrategicos;69;168;12639.0790622531;75.2326134657923;248;41;1;-0.497031843722153;0.607099012622029
1471;COL. AMERICANO COMEDOR;TECFOOD;Clientes estrategicos;3;236;30388.2198703525;128.763643518443;314;57;1;-1.87361513223919;-0.36512957101086
35;COL. AMERICANO RETAIL;TECFOOD;Clientes estrategicos;4;235;67304.0814537339;286.400346611634;256;52;1;-2.06518264839953;0.20136688710806
1756;COL. DE LIGA COMEDOR;TECFOOD;Clientes estrategicos;55;196;25292.2590299241;129.042137907776;217;47;1;-0.886334630031277;0.755627803836774
1476;COL. EINSTEIN COMEDOR;TECFOOD;Clientes estrategicos;4;215;21598.6035578805;100.458621199444;274;55;1;-1.60439386841215;-0.420494413790636
43;COL. EINSTEIN RETAIL;TECFOOD;Clientes estrategicos;4;156;22242.2312992088;142.578405764159;160;46;1;-1.36761729164757;-0.215175077710795
787;COL. HIGHLANDS RETAIL;TECFOOD;Clientes estrategicos;55;100;11381.7708755512;113.817708755512;186;34;1;-0.315400050861489;0.798857531233799
1472;COL. HIGHLANDS COMEDOR;TECFOOD;Clientes estrategicos;26;199;16840.6903395727;84.6265846209683;266;50;1;-0.989798706572508;0.211962080321561
1468;COL. LA CONDAMINE COMEDOR;TECFOOD;Clientes estrategicos;52;183;36755.3029818597;200.848650174097;259;43;1;-1.07449446212044;1.05085652160758
26;COL. LA CONDAMINE RETAIL;TECFOOD;Clientes estrategicos;52;168;13913.7695868996;82.8200570648786;155;46;1;-0.524322231080072;0.439938683664295
944;COL. MONTEBELLO A. RETAIL;TECFOOD;Clientes estrategicos;60;113;14640.3985757676;129.561049343076;100;31;1;-0.19812162046432;0.855776253706652
1465;COL. MONTEBELLO A. COMEDOR;TECFOOD;Clientes estrategicos;4;203;15952.1908599084;78.5822209847705;220;51;1;-1.37545577296898;-0.563958964971765
